price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model
4250000.0,4.0,64,5.88,AMOLED,60.0,12,2,Xiaomi,Medium,HD,Snapdragon 710
4150000.0,16.0,512,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Snapdragon 7
34950000.0,16.0,1024,7.92,Foldable LTPO AMOLED (màn chính) | LTPO OLED (màn phụ),120.0,50,3,Honor,Premium,2K,Snapdragon 8 gen 3
3350000.0,6.0,128,6.3,IPS LCD,60.0,48,4,Xiaomi,Medium,HD,Snapdragon 665
5850000.0,8.0,256,6.6,IPS LCD,120.0,64,3,Xiaomi,Medium,HD,Dimensity 1100
4950000.0,12.0,512,6.67,AMOLED,120.0,50,3,Xiaomi,Medium,HD,Dimensity 7300 ultra
19490000.0,8.0,256,6.8,Dynamic AMOLED 2X,120.0,200,4,Samsung,Premium,FHD,Snapdragon 8 gen 2
9450000.0,6.0,128,6.41,Optic AMOLED,60.0,48,2,OnePlus,High,HD,Snapdragon 855
3990000.0,12.0,256,6.56,IPS LCD,60.0,50,1,Itel,Medium,HD,Helio G99
1810000.0,2.0,32,6.5,PLS LCD,60.0,8,1,Samsung,Low,HD,Sc9863a 8 
6050000.0,16.0,256,6.65,"AMOLED, Full HD+ (1080x2340 pixels) - 144Hz",144.0,64,3,Nubia,Medium,HD,Snapdragon 865
2250000.0,4.0,128,6.74,IPS LCD,90.0,50,2,Xiaomi,Low,HD,Dimensity 6100
22990000.0,6.0,128,6.1,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A16 Bionic
4050000.0,8.0,128,6.53,IPS LCD,60.0,48,3,Vivo,Medium,HD,Snapdragon 720g
8750000.0,8.0,128,6.1,OLED,120.0,48,3,Sony,High,HD,Snapdragon 6 gen 1
8550000.0,8.0,256,6.47,Super AMOLED,60.0,108,5,Xiaomi,High,HD,Snapdragon 730g
3790000.0,4.0,128,6.67,AMOLED,120.0,50,3,Xiaomi,Medium,HD,Snapdragon 685
7290000.0,8.0,256,6.67,AMOLED,60.0,108,3,Xiaomi,Medium,HD,Dimensity 7025 ultra
6250000.0,8.0,128,6.43,"Super AMOLED, 120Hz",120.0,64,3,Realme,Medium,HD,Dimensity 1200
11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3
3950000.0,8.0,128,6.5,IPS LCD,120.0,50,2,Motorola,Medium,HD,Dimensity 7020
2000000.0,2.0,16,6.0,IPS LCD,60.0,12,2,Xiaomi,Low,HD,Snapdragon 632
4450000.0,8.0,256,6.67,IPS LCD,90.0,50,1,OPPO,Medium,HD,Snapdragon 6
8490000.0,8.0,256,6.6,Super AMOLED,120.0,50,2,Samsung,High,HD,Exynos 1380
4450000.0,6.0,128,6.6,IPS LCD,90.0,50,2,Xiaomi,Medium,HD,Dimensity 810
8650000.0,12.0,128,6.67,Super AMOLED,60.0,64,4,Xiaomi,High,HD,Snapdragon 865
11750000.0,12.0,512,6.55,AMOLED,120.0,200,3,Meizu,High,HD,Snapdragon 8 gen 3
6290000.0,8.0,256,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Helio G99ULTRA
16250000.0,16.0,1024,6.73,LTPO AMOLED,120.0,50,3,Xiaomi,Premium,FHD,Snapdragon 8 gen 3
20490000.0,16.0,512,5.92,Super AMOLED,144.0,50,2,Asus,Premium,HD,Snapdragon 8 gen 2
39990000.0,12.0,1024,6.3,Super Retina XDR OLED,120.0,48,3,Apple,Premium,HD,A18 Bionic
15250000.0,16.0,1024,6.31,LTPO AMOLED,120.0,50,3,Vivo,Premium,HD,Dimensity 9400
19950000.0,12.0,256,6.73,LTPO AMOLED,120.0,50,3,Xiaomi,Premium,FHD,Snapdragon 8 gen 1
3700000.0,4.0,128,6.5,PLS IPS,90.0,48,4,Samsung,Medium,HD,Exynos 850 8
2150000.0,6.0,128,6.51,IPS LCD,60.0,13,3,OPPO,Low,HD,Helio p35
7450000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,Medium,HD,Snapdragon 7 gen 3
3190000.0,4.0,64,6.74,IPS LCD,90.0,32,1,Realme,Medium,HD,Unisoc t612
17450000.0,4.0,512,6.1,Super Retina,60.0,12,2,Apple,Premium,HD,A15 Bionic
18990000.0,12.0,256,6.8,Dynamic AMOLED 2X,120.0,108,4,Samsung,Premium,FHD,Snapdragon 8 gen 1
3950000.0,6.0,64,6.39,AMOLED,60.0,48,3,Xiaomi,Medium,HD,Snapdragon 730
8450000.0,12.0,256,6.77,AMOLED,120.0,50,3,Nothing,High,HD,Snapdragon 7
24950000.0,12.0,512,6.7,Foldable Dynamic LTPO AMOLED 2X | Màn phụ: Super AMOLED,120.0,50,2,Samsung,Premium,HD,Exynos 2500
4750000.0,12.0,256,6.67,AMOLED,120.0,108,2,Xiaomi,Medium,HD,Dimensity 6080
3390000.0,6.0,256,6.74,IPS LCD,90.0,50,2,Realme,Medium,HD,Unisoc t612
3050000.0,6.0,128,6.6,PLS LCD,60.0,50,4,Samsung,Medium,HD,Exynos 850 8
5690000.0,8.0,128,6.44,AMOLED,90.0,64,3,Vivo,Medium,HD,Helio G99
5990000.0,8.0,128,6.67,AMOLED,120.0,200,3,Xiaomi,Medium,HD,Helio G99ULTRA
19950000.0,16.0,1024,6.78,LTPO AMOLED,120.0,50,4,OPPO,Premium,HD,Dimensity 9500
12450000.0,12.0,256,6.62,AMOLED,120.0,48,3,Vivo,High,HD,Snapdragon 888
9450000.0,12.0,256,6.67,"Super AMOLED, 144Hz, HDR10+, 1300 nits",144.0,48,3,Xiaomi,High,HD,Snapdragon 870
16100000.0,12.0,512,6.5,OLED,90.0,108,4,Xiaomi,Premium,HD,Snapdragon 865
2450000.0,6.0,256,6.56,TFT LCD,90.0,50,2,Honor,Low,HD,Helio G85
3700000.0,6.0,128,6.3,IPS LCD,60.0,48,2,Xiaomi,Medium,HD,Snapdragon 675
8950000.0,12.0,256,6.28,AMOLED,120.0,50,3,Xiaomi,High,HD,Snapdragon 8 gen 1
10950000.0,12.0,256,6.55,"Fluid AMOLED, 120Hz, HDR10+",120.0,50,3,OnePlus,High,HD,Snapdragon 888
15450000.0,16.0,1024,6.74,AMOLED,144.0,50,3,Realme,Premium,HD,Snapdragon 8 gen 1
9350000.0,12.0,256,6.55,Fluid AMOLED,120.0,48,4,OnePlus,High,HD,Snapdragon 870
19390000.0,12.0,256,6.1,Super Retina XDR,60.0,48,4,Apple,Premium,HD,A18 Bionic
5950000.0,12.0,512,6.77,AMOLED,120.0,50,2,Vivo,Medium,HD,Snapdragon 7
24950000.0,8.0,512,6.7,Super Retina XDR OLED,60.0,48,2,Apple,Premium,HD,A18 Bionic
5890000.0,8.0,256,6.78,AMOLED,120.0,108,1,Tecno,Medium,HD,G9 9 
17450000.0,12.0,512,6.78,AMOLED,120.0,50,3,Vivo,Premium,HD,Dimensity 9200
3950000.0,8.0,128,6.8,IPS LCD,90.0,50,2,Tecno,Medium,HD,Helio G88
10950000.0,16.0,1024,6.78,LTPO AMOLED,120.0,50,3,OnePlus,High,HD,Snapdragon 8 e
