price,ram,internal_memory,screen_size,screen_tech,refresh_rate,camera_main_resolution,camera_count,brand,price_category,screen_resolution_k,chip_model,chip_model_encoded,brand_encoded,screen_tech_encoded,screen_resolution_k_encoded
17050000.0,8.0,256,6.2,OLED,120.0,50,2,Google,Premium,HD,Tensor G3,9996200.991437584,14360686.836822482,10626020.563149901,8622095.701029267
24390000.0,12.0,256,6.7,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G3,9996200.991437584,14360686.836822482,13521880.9148265,8622095.701029267
20050000.0,12.0,256,6.3,OLED,120.0,50,2,Google,Premium,HD,Tensor G4,12019555.491826786,13131755.520504732,10644464.121710658,8557935.866096748
24950000.0,16.0,1024,6.3,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G4,12481748.731312575,15148814.781433078,13894738.057683643,8558835.587253692
42250000.0,16.0,512,8.0,Foldable LTPO OLED | Màn phụ: OLED,120.0,48,3,Google,Premium,2K,Tensor G4,11729574.818269098,13497386.210004505,9861511.041009463,21657959.56409521
27550000.0,16.0,1024,6.8,LTPO OLED,120.0,50,3,Google,Premium,HD,Tensor G4,12019555.491826786,13131755.520504732,13519738.057683643,8557935.866096748
39890000.0,12.0,512,7.6,OLED,120.0,48,3,Google,Premium,FHD,Tensor G2,10307737.310008602,13131755.520504732,10644464.121710658,19532316.98830952
12950000.0,12.0,512,6.7,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 7 gen 3,9212340.694006307,13248170.347003154,8814153.412615655,8514044.54111523
6450000.0,6.0,128,6.26,IPS LCD,60.0,48,3,Honor,Medium,HD,Kirin 810,9861511.041009463,13248170.347003154,4234313.623719911,8514044.54111523
7450000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,Medium,HD,Snapdragon 7 gen 3,9213555.510328686,11575288.868859846,8652998.667789413,8478074.60955868
11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3,18545581.169619024,11575288.868859846,8652998.667789413,8478074.60955868
14750000.0,16.0,1024,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3,17523298.831291277,11916409.108318623,8734039.109685032,8546529.176983478
8050000.0,16.0,512,6.7,AMOLED,120.0,50,2,Honor,High,HD,Snapdragon 7 gen 4,9861511.041009463,11916409.108318623,8734039.109685032,8546529.176983478
11950000.0,16.0,512,6.78,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 gen 3,17516985.298494138,11301032.65912043,8570011.200063622,8558835.587253692
14950000.0,16.0,1024,6.78,OLED,120.0,50,3,Honor,High,HD,Snapdragon 8 e,15431141.382277029,10064700.315457413,10626020.563149901,8622095.701029267
7950000.0,8.0,265,6.67,OLED,120.0,64,1,Honor,Medium,HD,Dimensity 900,9777400.90522562,12629562.070885137,10644464.121710658,8557935.866096748
9550000.0,12.0,512,6.67,OLED,120.0,160,3,Honor,High,HD,Snapdragon 782g,9411313.948703881,10064700.315457413,10626020.563149901,8622095.701029267
12350000.0,12.0,512,6.78,OLED,120.0,54,3,Honor,High,HD,Dimensity 8000,9861511.041009463,13248170.347003154,11139737.242531082,8514044.54111523
11050000.0,12.0,512,6.78,OLED,120.0,200,3,Honor,High,HD,Snapdragon 8 gen 1,13038118.374101464,11301032.65912043,10779507.739710953,8558835.587253692
8450000.0,12.0,256,6.67,OLED,120.0,64,3,Honor,High,HD,Dimensity 900,9659592.534174552,13248170.347003154,11139737.242531082,8514044.54111523
4950000.0,6.0,128,6.59,IPS LCD,60.0,48,2,Honor,Medium,HD,Kirin 810,9861511.041009463,13248170.347003154,4234313.623719911,8514044.54111523
7650000.0,16.0,1024,6.7,AMOLED,120.0,50,2,Honor,Medium,HD,Snapdragon 8 gen 3,17523298.831291277,11916409.108318623,8734039.109685032,8546529.176983478
11950000.0,16.0,1024,6.7,AMOLED,120.0,50,3,Honor,High,HD,Snapdragon 8 e,15484716.1509921,11916409.108318623,8734039.109685032,8546529.176983478
15750000.0,16.0,1024,6.78,LTPO OLED,120.0,50,3,Honor,Premium,HD,Snapdragon 8 e,15484716.1509921,11916409.108318623,14273890.724884417,8546529.176983478
19950000.0,16.0,1024,6.8,LTPO OLED,120.0,200,3,Honor,Premium,HD,Snapdragon 8 e,15484716.1509921,11916409.108318623,14273890.724884417,8546529.176983478
27950000.0,24.0,1024,6.8,LTPO OLED,120.0,200,3,Honor,Premium,HD,Snapdragon 8 e,15431141.382277029,10064700.315457413,13521880.9148265,8622095.701029267
23450000.0,12.0,512,6.81,LTPO OLED,120.0,50,3,Honor,Premium,HD,Snapdragon 8 gen 1,13038118.374101464,11301032.65912043,13894738.057683643,8558835.587253692
25950000.0,12.0,512,6.81,LTPO OLED,120.0,64,3,Honor,Premium,HD,Snapdragon 8 gen 1,12390262.427934296,10064700.315457413,13521880.9148265,8622095.701029267
29700000.0,16.0,1024,7.92,Foldable LTPO OLED (màn hình chính) | LTPO OLED (màn hình phụ),120.0,50,3,Honor,Premium,2K,Snapdragon 8 gen 2,15115596.963054055,11301032.65912043,9861511.041009463,24383658.092695948
34950000.0,16.0,1024,7.92,Foldable LTPO AMOLED (màn chính) | LTPO OLED (màn phụ),120.0,50,3,Honor,Premium,2K,Snapdragon 8 gen 3,18545581.169619024,11575288.868859846,9861511.041009463,21657959.56409521
23450000.0,16.0,512,7.92,Foldable LTPO OLED | Màn phụ: LTPO OLED,120.0,50,3,Honor,Premium,2K,Snapdragon 8 gen 1,12390262.427934296,10064700.315457413,9861511.041009463,23385232.291367937
28450000.0,12.0,512,7.9,Foldable OLED | OLED,90.0,54,3,Honor,Premium,FHD,Snapdragon 8 gen 1,12390262.427934296,10064700.315457413,9861511.041009463,19818323.483608194
4250000.0,12.0,256,6.8,TFT LCD,90.0,50,2,Honor,Medium,HD,Dimensity 6020,8593637.808155159,13248170.347003154,8440140.295533787,8514044.54111523
